station_id,month,t_mean_c,t_std_c,p_mean_hpa,p_std_hpa,rh_mean_pct,rh_std_pct
AWS-CHE-01,1,25.65,2.79,1013.4,2.22,75.6,13.7
AWS-CHE-01,2,26.68,3.11,1013.04,2.33,72.76,14.85
AWS-CHE-01,3,28.84,3.06,1010.91,2.46,72.38,14.54
AWS-CHE-01,4,30.9,2.85,1008.52,2.46,72.45,13.31
AWS-CHE-01,5,32.11,3.23,1005.36,2.6,67.91,14.77
AWS-CHE-01,6,31.76,3.26,1004.4,2.0,64.99,15.24
AWS-CHE-01,7,30.65,3.03,1004.72,2.0,68.38,14.85
AWS-CHE-01,8,30.07,2.9,1005.54,2.09,71.85,14.01
AWS-CHE-01,9,29.6,2.74,1006.52,2.26,75.05,13.02
AWS-CHE-01,10,28.55,2.69,1008.76,2.69,79.16,13.15
AWS-CHE-01,11,26.85,2.37,1010.9,2.4,82.67,11.97
AWS-CHE-01,12,25.93,2.46,1012.46,2.67,79.62,12.58
AWS-DEL-01,1,13.21,4.5,1017.39,2.97,80.9,18.01
AWS-DEL-01,2,17.6,5.38,1014.98,3.37,71.06,21.53
AWS-DEL-01,3,23.35,5.73,1011.17,3.57,60.85,21.42
AWS-DEL-01,4,29.56,5.71,1006.26,3.3,44.39,18.31
AWS-DEL-01,5,32.45,5.25,1001.82,3.73,47.79,18.53
AWS-DEL-01,6,33.26,4.41,998.53,2.89,57.03,19.09
AWS-DEL-01,7,31.13,3.16,998.27,2.55,75.81,14.21
AWS-DEL-01,8,30.42,2.68,1000.38,2.6,77.5,12.68
AWS-DEL-01,9,29.61,3.3,1004.2,2.69,74.34,15.36
AWS-DEL-01,10,25.84,5.06,1010.21,3.35,68.23,19.27
AWS-DEL-01,11,19.7,5.4,1014.7,2.42,71.85,20.07
AWS-DEL-01,12,14.59,5.2,1017.11,2.65,77.28,19.6
AWS-JAI-01,1,13.16,5.6,1017.2,3.34,68.9,23.85
AWS-JAI-01,2,18.73,6.44,1015.13,3.77,49.74,23.74
AWS-JAI-01,3,24.63,6.58,1011.39,3.83,41.0,21.49
AWS-JAI-01,4,30.46,6.3,1006.84,3.35,27.63,17.07
AWS-JAI-01,5,33.64,6.17,1002.3,3.97,33.58,19.98
AWS-JAI-01,6,33.8,5.29,999.24,3.02,47.76,22.0
AWS-JAI-01,7,31.01,3.89,998.59,2.76,71.14,17.47
AWS-JAI-01,8,30.18,3.49,1001.01,2.73,70.3,17.03
AWS-JAI-01,9,29.64,4.02,1004.33,2.58,66.6,19.47
AWS-JAI-01,10,26.54,5.77,1010.4,3.44,50.67,20.94
AWS-JAI-01,11,20.27,6.32,1015.09,2.53,52.84,20.65
AWS-JAI-01,12,14.74,6.09,1017.55,2.86,61.38,22.54
AWS-KOL-01,1,18.79,4.44,1014.81,2.57,72.14,18.17
AWS-KOL-01,2,22.97,4.74,1013.05,2.98,65.79,19.6
AWS-KOL-01,3,27.58,4.25,1009.86,3.11,63.96,19.57
AWS-KOL-01,4,30.26,3.98,1006.62,2.86,69.13,17.0
AWS-KOL-01,5,30.58,3.7,1003.26,3.36,73.85,14.01
AWS-KOL-01,6,30.31,2.99,1000.03,2.88,80.15,11.75
AWS-KOL-01,7,29.39,2.26,999.77,3.05,84.12,9.78
AWS-KOL-01,8,29.28,2.2,1001.27,3.12,84.63,9.52
AWS-KOL-01,9,29.17,2.46,1004.33,3.02,83.66,10.58
AWS-KOL-01,10,27.93,3.06,1009.01,3.14,78.88,14.06
AWS-KOL-01,11,24.38,3.93,1012.53,2.14,71.03,16.65
AWS-KOL-01,12,19.93,4.29,1014.37,2.34,72.82,17.37
AWS-MUM-01,1,24.74,4.34,1012.98,2.04,57.64,17.66
AWS-MUM-01,2,26.12,4.44,1012.36,2.1,54.95,18.9
AWS-MUM-01,3,28.26,3.78,1010.53,2.14,58.96,18.9
AWS-MUM-01,4,29.79,2.71,1008.71,2.0,68.44,13.28
AWS-MUM-01,5,30.67,1.96,1006.88,2.43,71.16,8.79
AWS-MUM-01,6,29.49,2.27,1004.28,2.5,79.16,10.25
AWS-MUM-01,7,28.05,1.61,1004.02,2.37,85.47,8.08
AWS-MUM-01,8,27.85,1.5,1005.56,2.58,84.1,7.65
AWS-MUM-01,9,27.92,1.88,1007.07,2.53,82.87,9.97
AWS-MUM-01,10,29.11,2.99,1009.3,2.5,70.9,16.47
AWS-MUM-01,11,28.24,3.75,1011.27,2.0,57.85,17.43
AWS-MUM-01,12,26.14,4.13,1012.48,2.12,57.78,17.71
